source,period,year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
bbc_news_tv,control,2018-12,0.2258,1,61.29,0.0,38.71,93,0.9795
bbc_news_tv,control,2019-01,0.1622,1.0,58.11,0.0,41.89,74,0.9935
bbc_news_tv,control,2019-02,0.1613,1.0,58.06,0.0,41.94,62,0.995
bbc_news_tv,control,2019-03,0.0549,1,52.75,0.0,47.25,91,1.004
bbc_news_tv,control,2019-04,-0.075,-1.0,46.25,0.0,53.75,80,1.0035
bbc_news_tv,control,2019-05,1,1,100.0,0.0,0.0,1,0.0
bbc_news_tv,control,2019-06,0.35,1.0,67.5,0.0,32.5,80,0.9427
bbc_news_tv,control,2019-07,0.1613,1,58.06,0.0,41.94,93,0.9923
bbc_news_tv,control,2019-08,0.0345,1,51.72,0.0,48.28,87,1.0052
bbc_news_tv,control,2019-09,-0.1351,-1.0,43.24,0.0,56.76,74,0.9976
bbc_news_tv,control,2019-10,0.0794,1,53.97,0.0,46.03,63,1.0049
bbc_news_tv,control,2019-11,0.4483,1.0,72.41,0.0,27.59,58,0.9017
bbc_news_tv,covid,2019-12,0.2787,1,63.93,0.0,36.07,61,0.9684
bbc_news_tv,covid,2020-01,0,0.0,50.0,0.0,50.0,62,1.0082
bbc_news_tv,covid,2020-02,0.05,1.0,52.5,0.0,47.5,80,1.0051
bbc_news_tv,covid,2020-03,0.3061,1,65.31,0.0,34.69,49,0.9619
bbc_news_tv,covid,2020-04,0.4468,1,72.34,0.0,27.66,47,0.9043
bbc_news_tv,covid,2020-05,-0.0638,-1,46.81,0.0,53.19,47,1.0087
bbc_news_tv,covid,2020-06,0.4167,1.0,70.83,0.0,29.17,48,0.9187
bbc_news_tv,covid,2020-07,0.3061,1,65.31,0.0,34.69,49,0.9619
bbc_news_tv,covid,2020-08,0.1538,1.0,57.69,0.0,42.31,52,0.9977
bbc_news_tv,covid,2020-09,0.1429,1,57.14,0.0,42.86,49,1.0
bbc_news_tv,covid,2020-10,-0.08,-1.0,46.0,0.0,54.0,50,1.0069
bbc_news_tv,covid,2020-11,0,0.0,50.0,0.0,50.0,50,1.0102
bbc_news_tv,covid,2020-12,-0.2941,-1,35.29,0.0,64.71,51,0.9653
bbc_news_tv,covid,2021-01,0.2083,1.0,60.42,0.0,39.58,48,0.9884
bbc_news_tv,covid,2021-02,-0.0588,-1,47.06,0.0,52.94,51,1.0082
bbc_news_tv,covid,2021-03,-0.0435,-1.0,47.83,0.0,52.17,46,1.0101
bbc_news_tv,covid,2021-04,0.1429,1,57.14,0.0,42.86,49,1.0
bbc_news_tv,covid,2021-05,-0.0411,-1,47.95,0.0,52.05,73,1.0061
bbc_news_tv,covid,2021-06,0.2941,1,64.71,0.0,35.29,51,0.9653
bbc_news_tv,covid,2021-07,0.6,1,80.0,0.0,20.0,55,0.8074
bbc_news_tv,covid,2021-08,0.24,1.0,62.0,0.0,38.0,50,0.9806
bbc_news_tv,covid,2021-09,0.2152,1,60.76,0.0,39.24,79,0.9828
bbc_news_tv,covid,2021-10,0.2,1.0,60.0,0.0,40.0,60,0.9881
bbc_news_tv,covid,2021-11,0.3333,1.0,66.67,0.0,33.33,42,0.9542
bbc_news_tv,covid,2021-12,-0.2889,-1,35.56,0.0,64.44,45,0.9682
bbc_news_tv,covid,2022-01,0.05,1.0,52.5,0.0,47.5,40,1.0115
bbc_news_tv,covid,2022-02,0.1538,1.0,57.69,0.0,42.31,52,0.9977
bbc_news_tv,covid,2022-03,0.0633,1,53.16,0.0,46.84,79,1.0044
bbc_news_tv,covid,2022-04,0.2,1.0,60.0,0.0,40.0,60,0.9881
bbc_news_tv,covid,2022-05,0.1268,1,56.34,0.0,43.66,71,0.999
bbc_news_tv,covid,2022-06,0.5088,1,75.44,0.0,24.56,57,0.8686
bbc_news_tv,covid,2022-07,-0.0545,-1,47.27,0.0,52.73,55,1.0077
bbc_news_tv,covid,2022-08,0.4493,1,72.46,0.0,27.54,69,0.8999
bbc_news_tv,covid,2022-09,0.5593,1,77.97,0.0,22.03,59,0.8361
bbc_news_tv,covid,2022-10,-0.0236,-1,48.82,0.0,51.18,127,1.0037
bbc_news_tv,covid,2022-11,0.0357,1.0,51.79,0.0,48.21,56,1.0084
bbc_news_tv,covid,2022-12,0.2381,1,61.9,0.0,38.1,63,0.979
bbc_news_tv,covid,2023-01,-0.1429,-1.0,42.86,0.0,57.14,56,0.9987
bbc_news_tv,covid,2023-02,0.2308,1.0,61.54,0.0,38.46,78,0.9793
bbc_news_tv,covid,2023-03,0.2632,1,63.16,0.0,36.84,57,0.9733
bbc_news_tv,covid,2023-04,0.0588,1,52.94,0.0,47.06,51,1.0082
bbc_news_tv,covid,2023-05,0.3818,1,69.09,0.0,30.91,55,0.9328
bbc_radio4,control,2016-06,0,0.0,50.0,0.0,50.0,8,1.069
bbc_radio4,control,2016-07,-0.1111,-1,44.44,0.0,55.56,9,1.0541
bbc_radio4,control,2016-08,-0.25,-1.0,37.5,0.0,62.5,8,1.0351
bbc_radio4,control,2016-09,0.5556,1,77.78,0.0,22.22,9,0.8819
bbc_radio4,control,2016-10,0.25,1.0,62.5,0.0,37.5,8,1.0351
bbc_radio4,control,2016-11,0.2,1.0,60.0,0.0,40.0,10,1.0328
bbc_radio4,control,2016-12,0,0.0,50.0,0.0,50.0,10,1.0541
bbc_radio4,control,2017-01,-0.4545,-1,27.27,0.0,72.73,11,0.9342
bbc_radio4,control,2017-02,0.4,1.0,70.0,0.0,30.0,10,0.9661
bbc_radio4,control,2017-03,-0.4,-1.0,30.0,0.0,70.0,10,0.9661
bbc_radio4,control,2017-04,-0.2727,-1,36.36,0.0,63.64,11,1.009
bbc_radio4,control,2017-05,0.3333,1,66.67,0.0,33.33,9,1.0
bbc_radio4,control,2017-06,-0.2,-1.0,40.0,0.0,60.0,10,1.0328
bbc_radio4,control,2017-07,-0.5556,-1,22.22,0.0,77.78,9,0.8819
bbc_radio4,control,2017-08,0.3333,1,66.67,0.0,33.33,9,1.0
