source,period,year_month,sentence_count,anger_pct,disgust_pct,fear_pct,joy_pct,neutral_pct,sadness_pct,surprise_pct
bbc_news_tv,covid,2022-01,40,10.0,7.5,5.0,5.0,50.0,12.5,10.0
bbc_news_tv,covid,2022-02,52,9.62,5.77,3.85,17.31,51.92,7.69,3.85
bbc_news_tv,covid,2022-03,79,5.06,5.06,6.33,1.27,60.76,11.39,10.13
bbc_news_tv,covid,2022-04,60,6.67,1.67,5.0,10.0,56.67,13.33,6.67
bbc_news_tv,covid,2022-05,71,4.23,0.0,1.41,7.04,61.97,14.08,11.27
bbc_news_tv,covid,2022-06,57,3.51,1.75,5.26,24.56,52.63,3.51,8.77
bbc_news_tv,covid,2022-07,55,9.09,5.45,3.64,10.91,47.27,14.55,9.09
bbc_news_tv,covid,2022-08,69,2.9,0.0,4.35,15.94,50.72,4.35,21.74
bbc_news_tv,covid,2022-09,59,1.69,3.39,1.69,25.42,47.46,13.56,6.78
bbc_news_tv,covid,2022-10,127,3.15,2.36,3.15,7.09,70.08,4.72,9.45
bbc_news_tv,covid,2022-11,56,5.36,1.79,5.36,5.36,66.07,5.36,10.71
bbc_news_tv,covid,2022-12,63,1.59,3.17,6.35,7.94,58.73,12.7,9.52
bbc_news_tv,covid,2023-01,56,1.79,3.57,8.93,7.14,67.86,5.36,5.36
bbc_news_tv,covid,2023-02,78,1.28,1.28,6.41,6.41,51.28,23.08,10.26
bbc_news_tv,covid,2023-03,57,5.26,3.51,3.51,14.04,59.65,7.02,7.02
bbc_news_tv,covid,2023-04,51,9.8,1.96,7.84,7.84,50.98,7.84,13.73
bbc_news_tv,covid,2023-05,55,0.0,1.82,1.82,16.36,76.36,0.0,3.64
bbc_radio4,control,2016-06,8,12.5,0.0,12.5,12.5,50.0,12.5,0.0
bbc_radio4,control,2016-07,9,11.11,11.11,11.11,0.0,33.33,11.11,22.22
bbc_radio4,control,2016-08,8,0.0,0.0,25.0,12.5,37.5,25.0,0.0
bbc_radio4,control,2016-09,9,0.0,0.0,0.0,11.11,44.44,33.33,11.11
bbc_radio4,control,2016-10,8,0.0,0.0,0.0,25.0,25.0,37.5,12.5
bbc_radio4,control,2016-11,10,0.0,0.0,20.0,0.0,60.0,20.0,0.0
bbc_radio4,control,2016-12,10,10.0,10.0,0.0,0.0,60.0,10.0,10.0
bbc_radio4,control,2017-01,11,0.0,0.0,0.0,9.09,45.45,45.45,0.0
bbc_radio4,control,2017-02,10,20.0,0.0,0.0,10.0,60.0,0.0,10.0
bbc_radio4,control,2017-03,10,10.0,10.0,0.0,20.0,60.0,0.0,0.0
bbc_radio4,control,2017-04,11,9.09,0.0,0.0,9.09,54.55,27.27,0.0
bbc_radio4,control,2017-05,9,0.0,11.11,11.11,11.11,55.56,11.11,0.0
bbc_radio4,control,2017-06,10,0.0,0.0,10.0,10.0,70.0,10.0,0.0
bbc_radio4,control,2017-07,9,11.11,11.11,11.11,11.11,33.33,22.22,0.0
bbc_radio4,control,2017-08,9,0.0,11.11,0.0,0.0,55.56,11.11,22.22
bbc_radio4,control,2017-09,10,20.0,20.0,10.0,30.0,10.0,10.0,0.0
bbc_radio4,control,2017-10,11,0.0,18.18,0.0,18.18,63.64,0.0,0.0
bbc_radio4,control,2017-11,9,0.0,0.0,11.11,0.0,55.56,22.22,11.11
bbc_radio4,control,2017-12,9,11.11,0.0,0.0,11.11,66.67,11.11,0.0
bbc_radio4,control,2018-01,10,20.0,10.0,10.0,0.0,40.0,20.0,0.0
bbc_radio4,control,2018-02,12,0.0,0.0,0.0,0.0,75.0,25.0,0.0
bbc_radio4,control,2018-03,9,11.11,11.11,22.22,11.11,44.44,0.0,0.0
bbc_radio4,control,2018-04,9,11.11,11.11,0.0,11.11,33.33,11.11,22.22
bbc_radio4,control,2018-05,10,10.0,0.0,20.0,10.0,30.0,10.0,20.0
bbc_radio4,control,2018-06,11,18.18,9.09,0.0,18.18,36.36,18.18,0.0
bbc_radio4,control,2018-07,9,0.0,0.0,11.11,22.22,55.56,11.11,0.0
bbc_radio4,control,2018-08,10,0.0,0.0,0.0,0.0,60.0,20.0,20.0
bbc_radio4,control,2018-09,11,9.09,0.0,18.18,9.09,54.55,9.09,0.0
bbc_radio4,control,2018-10,10,20.0,10.0,0.0,20.0,40.0,0.0,10.0
bbc_radio4,control,2018-11,12,8.33,0.0,0.0,16.67,50.0,16.67,8.33
bbc_radio4,control,2018-12,10,20.0,0.0,10.0,0.0,50.0,10.0,10.0
bbc_radio4,control,2019-01,10,0.0,0.0,0.0,10.0,80.0,10.0,0.0
bbc_radio4,control,2019-02,10,20.0,10.0,10.0,0.0,40.0,20.0,0.0
bbc_radio4,control,2019-03,10,0.0,0.0,0.0,20.0,70.0,10.0,0.0
bbc_radio4,control,2019-04,10,20.0,0.0,0.0,20.0,50.0,0.0,10.0
bbc_radio4,control,2019-05,9,11.11,0.0,33.33,11.11,44.44,0.0,0.0
bbc_radio4,control,2019-06,10,10.0,0.0,10.0,0.0,50.0,30.0,0.0
bbc_radio4,control,2019-07,9,33.33,0.0,0.0,11.11,33.33,11.11,11.11
bbc_radio4,control,2019-08,11,9.09,9.09,18.18,0.0,18.18,36.36,9.09
bbc_radio4,control,2019-09,23,4.35,0.0,8.7,8.7,56.52,13.04,8.7
bbc_radio4,control,2019-10,11,9.09,18.18,0.0,0.0,45.45,18.18,9.09
bbc_radio4,control,2019-11,10,0.0,0.0,10.0,10.0,60.0,20.0,0.0
bbc_radio4,control,unknown-01,11,0.0,0.0,0.0,0.0,100.0,0.0,0.0
bbc_radio4,covid,2019-12,10,0.0,0.0,10.0,20.0,30.0,40.0,0.0
bbc_radio4,covid,2020-01,10,20.0,10.0,0.0,0.0,40.0,20.0,10.0
bbc_radio4,covid,2020-02,10,0.0,10.0,20.0,20.0,50.0,0.0,0.0
bbc_radio4,covid,2020-03,10,0.0,10.0,0.0,20.0,40.0,30.0,0.0
bbc_radio4,covid,2020-04,11,0.0,0.0,18.18,18.18,45.45,9.09,9.09
bbc_radio4,covid,2020-05,11,0.0,0.0,18.18,9.09,54.55,9.09,9.09
bbc_radio4,covid,2020-06,10,10.0,10.0,0.0,10.0,60.0,0.0,10.0
bbc_radio4,covid,2020-07,10,0.0,0.0,0.0,30.0,40.0,20.0,10.0
bbc_radio4,covid,2020-08,9,22.22,0.0,22.22,11.11,44.44,0.0,0.0
bbc_radio4,covid,2020-09,9,33.33,0.0,0.0,0.0,55.56,0.0,11.11
bbc_radio4,covid,2020-10,10,10.0,0.0,0.0,10.0,50.0,20.0,10.0
bbc_radio4,covid,2020-11,9,0.0,0.0,0.0,22.22,55.56,11.11,11.11
bbc_radio4,covid,2020-12,10,0.0,10.0,10.0,0.0,70.0,0.0,10.0
bbc_radio4,covid,2021-01,9,0.0,11.11,11.11,22.22,22.22,22.22,11.11
bbc_radio4,covid,2021-02,10,20.0,0.0,10.0,0.0,60.0,10.0,0.0
bbc_radio4,covid,2021-03,10,10.0,10.0,0.0,0.0,70.0,10.0,0.0
bbc_radio4,covid,2021-04,9,22.22,22.22,0.0,11.11,33.33,11.11,0.0
bbc_radio4,covid,2021-05,10,0.0,0.0,20.0,30.0,40.0,10.0,0.0
bbc_radio4,covid,2021-06,10,10.0,10.0,0.0,10.0,60.0,10.0,0.0
bbc_radio4,covid,2021-07,10,0.0,0.0,0.0,20.0,60.0,10.0,10.0
bbc_radio4,covid,2021-08,11,18.18,9.09,0.0,9.09,54.55,0.0,9.09
bbc_radio4,covid,2021-09,9,0.0,0.0,0.0,11.11,77.78,11.11,0.0
bbc_radio4,covid,2021-10,10,20.0,10.0,20.0,0.0,30.0,0.0,20.0
bbc_radio4,covid,2021-11,10,10.0,0.0,0.0,20.0,50.0,20.0,0.0
bbc_radio4,covid,2021-12,9,0.0,0.0,0.0,11.11,55.56,33.33,0.0
bbc_radio4,covid,2022-01,9,0.0,0.0,11.11,0.0,66.67,22.22,0.0
bbc_radio4,covid,2022-02,10,30.0,10.0,0.0,0.0,40.0,20.0,0.0
bbc_radio4,covid,2022-03,12,16.67,0.0,8.33,25.0,33.33,16.67,0.0
bbc_radio4,covid,2022-04,10,10.0,10.0,10.0,0.0,50.0,20.0,0.0
bbc_radio4,covid,2022-05,10,20.0,10.0,10.0,0.0,60.0,0.0,0.0
bbc_radio4,covid,2022-06,10,30.0,0.0,10.0,10.0,30.0,20.0,0.0
bbc_radio4,covid,2022-07,9,11.11,0.0,11.11,0.0,55.56,11.11,11.11
bbc_radio4,covid,2022-08,9,11.11,0.0,0.0,22.22,55.56,0.0,11.11
bbc_radio4,covid,2022-09,10,10.0,20.0,10.0,0.0,50.0,10.0,0.0
bbc_radio4,covid,2022-10,10,10.0,10.0,20.0,10.0,40.0,10.0,0.0
bbc_radio4,covid,2022-11,9,11.11,0.0,11.11,0.0,66.67,11.11,0.0
bbc_radio4,covid,2022-12,11,0.0,0.0,9.09,27.27,45.45,9.09,9.09
bbc_radio4,covid,2023-01,11,9.09,0.0,18.18,0.0,72.73,0.0,0.0
bbc_radio4,covid,2023-02,11,0.0,9.09,27.27,9.09,27.27,18.18,9.09
bbc_radio4,covid,2023-03,9,11.11,0.0,22.22,0.0,44.44,22.22,0.0
bbc_radio4,covid,2023-04,10,10.0,0.0,20.0,10.0,20.0,40.0,0.0
bbc_radio4,covid,2023-05,11,36.36,0.0,27.27,9.09,27.27,0.0,0.0
bbc_radio4,covid,unknown-01,11,0.0,0.0,0.0,0.0,100.0,0.0,0.0
graham_norton,control,2016-06,24,4.17,8.33,0.0,4.17,58.33,0.0,25.0
graham_norton,control,2016-07,24,4.17,0.0,0.0,16.67,50.0,4.17,25.0
graham_norton,control,2016-09,25,12.0,4.0,8.0,24.0,32.0,4.0,16.0
graham_norton,control,2016-10,30,0.0,6.67,0.0,10.0,60.0,6.67,16.67
graham_norton,control,2016-11,27,3.7,11.11,3.7,14.81,62.96,0.0,3.7
graham_norton,control,2016-12,33,6.06,6.06,0.0,24.24,24.24,6.06,33.33
graham_norton,control,2017-01,27,3.7,3.7,0.0,25.93,51.85,0.0,14.81
graham_norton,control,2017-02,27,7.41,7.41,3.7,7.41,51.85,7.41,14.81
graham_norton,control,2017-03,35,14.29,5.71,2.86,20.0,31.43,5.71,20.0
graham_norton,control,2017-04,34,0.0,2.94,0.0,17.65,58.82,5.88,14.71
graham_norton,control,2017-05,31,6.45,0.0,0.0,9.68,51.61,9.68,22.58
graham_norton,control,2017-06,31,6.45,0.0,3.23,12.9,67.74,3.23,6.45
graham_norton,control,2017-07,32,3.12,9.38,6.25,9.38,50.0,6.25,15.62
graham_norton,control,2017-09,25,0.0,12.0,0.0,16.0,60.0,0.0,12.0
graham_norton,control,2017-10,24,0.0,0.0,0.0,20.83,58.33,0.0,20.83
graham_norton,control,2017-11,23,4.35,0.0,8.7,13.04,47.83,8.7,17.39
graham_norton,control,2017-12,25,12.0,4.0,4.0,8.0,56.0,4.0,12.0
graham_norton,control,2018-01,28,3.57,3.57,0.0,10.71,46.43,3.57,32.14
graham_norton,control,2018-02,28,3.57,7.14,3.57,21.43,50.0,0.0,14.29
graham_norton,control,2018-04,27,3.7,3.7,3.7,11.11,48.15,22.22,7.41
graham_norton,control,2018-05,25,4.0,0.0,8.0,12.0,36.0,0.0,40.0
graham_norton,control,2018-06,30,6.67,3.33,3.33,23.33,40.0,0.0,23.33
graham_norton,control,2018-07,35,0.0,8.57,5.71,25.71,37.14,8.57,14.29
graham_norton,control,2018-09,22,4.55,9.09,4.55,31.82,36.36,0.0,13.64
graham_norton,control,2018-10,30,3.33,6.67,0.0,6.67,56.67,0.0,26.67
graham_norton,control,2018-11,26,0.0,0.0,0.0,15.38,53.85,0.0,30.77
graham_norton,control,2018-12,37,10.81,2.7,0.0,10.81,59.46,0.0,16.22
graham_norton,control,2019-01,29,3.45,0.0,10.34,17.24,51.72,3.45,13.79
graham_norton,control,2019-02,26,7.69,19.23,3.85,3.85,38.46,0.0,26.92
graham_norton,control,2019-04,25,12.0,4.0,0.0,16.0,56.0,4.0,8.0
graham_norton,control,2019-05,32,0.0,3.12,0.0,3.12,53.12,9.38,31.25
graham_norton,control,2019-06,31,3.23,6.45,0.0,22.58,35.48,3.23,29.03
graham_norton,control,2019-07,39,2.56,2.56,0.0,12.82,46.15,5.13,30.77
graham_norton,control,2019-09,30,10.0,16.67,0.0,20.0,50.0,0.0,3.33
graham_norton,control,2019-10,24,8.33,8.33,0.0,8.33,54.17,8.33,12.5
graham_norton,control,2019-11,28,7.14,0.0,0.0,10.71,46.43,7.14,28.57
graham_norton,covid,2019-12,37,5.41,8.11,0.0,8.11,70.27,0.0,8.11
