source,period,year_month,mean_sentiment,weighted_mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,covid_sentence_count,sentiment_std
bbc_news_tv,covid,2021-08,0.1889,0.4841,0.0,42.78,33.33,23.89,180,180,0.7966
bbc_news_tv,covid,2021-09,-0.0762,-0.0931,0,33.33,25.71,40.95,105,105,0.8626
bbc_news_tv,covid,2021-10,0.2308,0.5411,0.0,46.15,30.77,23.08,104,104,0.8033
bbc_news_tv,covid,2021-11,0.1667,0.0282,0.5,50.0,16.67,33.33,42,42,0.9084
bbc_news_tv,covid,2021-12,0.0493,0.0632,0.0,38.82,27.3,33.88,304,304,0.8526
bbc_news_tv,covid,2022-01,0.1341,0.2615,0.0,40.65,32.11,27.24,246,246,0.8146
bbc_news_tv,covid,2022-02,0.1742,0.3531,0.0,46.97,23.48,29.55,132,132,0.8605
bbc_news_tv,covid,2022-03,0.25,0.5102,0.0,40.0,45.0,15.0,20,20,0.7164
bbc_news_tv,covid,2022-04,0.3462,0.5652,1.0,51.92,30.77,17.31,52,52,0.764
bbc_news_tv,covid,2022-05,-0.0465,-0.1463,0.0,30.23,34.88,34.88,86,86,0.8103
bbc_news_tv,covid,2022-06,0.2727,0.7085,0,45.45,36.36,18.18,11,11,0.7862
bbc_news_tv,covid,2022-07,0.1441,0.2701,0,32.43,49.55,18.02,111,111,0.6987
bbc_news_tv,covid,2022-08,0.1961,0.357,0,45.1,29.41,25.49,51,51,0.8251
bbc_news_tv,covid,2022-09,-0.4,-0.5646,-1,20.0,20.0,60.0,15,15,0.8281
bbc_news_tv,covid,2022-10,0.4107,0.6087,1.0,58.93,23.21,17.86,56,56,0.7811
bbc_news_tv,covid,2022-11,0.1,0.0934,0.0,36.67,36.67,26.67,30,30,0.803
bbc_news_tv,covid,2022-12,0.0471,0.1132,0,34.12,36.47,29.41,85,85,0.8004
bbc_news_tv,covid,2023-01,-0.1695,-0.1333,0.0,25.42,32.2,42.37,118,118,0.8092
bbc_news_tv,covid,2023-02,0.0811,0.1581,0,43.24,21.62,35.14,37,37,0.8938
bbc_news_tv,covid,2023-03,0.2479,0.3206,0,47.93,28.93,23.14,121,121,0.8091
bbc_news_tv,covid,2023-04,0.2571,0.3409,1,54.29,17.14,28.57,35,35,0.8859
bbc_news_tv,covid,2023-05,0.1739,-0.0178,1,56.52,4.35,39.13,23,23,0.9841
bbc_radio4,control,2016-06,0.3,0.4846,1.0,60.0,10.0,30.0,10,10,0.9487
bbc_radio4,control,2016-07,-0.25,-0.0744,-0.5,25.0,25.0,50.0,4,4,0.9574
bbc_radio4,control,2016-08,-0.2222,-0.6289,0,22.22,33.33,44.44,9,9,0.8333
bbc_radio4,control,2016-09,0.125,0.3015,0.0,37.5,37.5,25.0,16,16,0.8062
bbc_radio4,control,2016-10,0.2857,0.3621,1,57.14,14.29,28.57,7,7,0.9512
bbc_radio4,control,2016-11,-0.2,-0.1259,-1,40.0,0.0,60.0,5,5,1.0954
bbc_radio4,control,2016-12,0.375,0.6472,1.0,62.5,12.5,25.0,8,8,0.9161
bbc_radio4,control,2017-01,-0.1429,-0.2859,-1,42.86,0.0,57.14,7,7,1.069
bbc_radio4,control,2017-02,1,1.0,1,100.0,0.0,0.0,3,3,0.0
bbc_radio4,control,2017-03,0.1765,0.2079,0,41.18,35.29,23.53,17,17,0.809
bbc_radio4,control,2017-04,0.1538,0.2044,0,46.15,23.08,30.77,13,13,0.8987
bbc_radio4,control,2017-05,-0.75,-1.0,-1.0,0.0,25.0,75.0,4,4,0.5
bbc_radio4,control,2017-06,-0.5,-0.292,-1.0,16.67,16.67,66.67,6,6,0.8367
bbc_radio4,control,2017-07,0.6,1.0,1,60.0,40.0,0.0,5,5,0.5477
bbc_radio4,control,2017-08,-0.1429,-0.4243,0.0,28.57,28.57,42.86,28,28,0.8483
bbc_radio4,control,2017-09,-0.75,-1.0,-1.0,0.0,25.0,75.0,4,4,0.5
bbc_radio4,control,2017-10,0,0.0151,0,28.57,42.86,28.57,7,7,0.8165
bbc_radio4,control,2017-11,0.375,0.4251,1.0,62.5,12.5,25.0,8,8,0.9161
bbc_radio4,control,2017-12,0.4,0.5711,1,60.0,20.0,20.0,5,5,0.8944
bbc_radio4,control,2018-01,0,-0.2953,0.0,42.86,14.29,42.86,14,14,0.9608
bbc_radio4,control,2018-02,-0.6667,-0.8868,-1,11.11,11.11,77.78,9,9,0.7071
bbc_radio4,control,2018-03,-0.1,-0.1781,-0.5,40.0,10.0,50.0,10,10,0.9944
