source,period,year_month,mean_sentiment,weighted_mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,covid_sentence_count,sentiment_std
bbc_news_tv,covid,2020-07,0.1224,0.5406,0,26.53,59.18,14.29,49,6,0.6335
bbc_news_tv,covid,2020-08,0.2115,0.4371,0.0,40.38,40.38,19.23,52,2,0.7498
bbc_news_tv,covid,2020-09,0.0408,0.0482,0,30.61,42.86,26.53,49,3,0.7626
bbc_news_tv,covid,2020-10,-0.02,-0.0828,0.0,26.0,46.0,28.0,50,3,0.742
bbc_news_tv,covid,2020-11,-0.02,0.1368,0.0,24.0,50.0,26.0,50,5,0.714
bbc_news_tv,covid,2020-12,0.0392,0.0974,0,29.41,45.1,25.49,51,4,0.7473
bbc_news_tv,covid,2021-01,0.1875,0.3043,0.0,35.42,47.92,16.67,48,3,0.7043
bbc_news_tv,covid,2021-02,0.098,0.2355,0,33.33,43.14,23.53,51,6,0.7551
bbc_news_tv,covid,2021-03,0.0435,0.057,0.0,30.43,43.48,26.09,46,1,0.7588
bbc_news_tv,covid,2021-04,-0.0204,0.0587,0,30.61,36.73,32.65,49,5,0.8034
bbc_news_tv,covid,2021-05,0.1233,0.2785,0,34.25,43.84,21.92,73,3,0.7443
bbc_news_tv,covid,2021-06,-0.1176,-0.071,0,23.53,41.18,35.29,51,2,0.7654
bbc_news_tv,covid,2021-07,0.3636,0.6693,0,43.64,49.09,7.27,55,55,0.6195
bbc_news_tv,covid,2021-08,0.28,0.6445,0.0,40.0,48.0,12.0,50,8,0.6713
bbc_news_tv,covid,2021-09,0.2532,0.4661,0,40.51,44.3,15.19,79,1,0.7065
bbc_news_tv,covid,2021-10,0.1,0.2409,0.0,36.67,36.67,26.67,60,60,0.7962
bbc_news_tv,covid,2021-11,0.3333,0.5016,0.0,45.24,42.86,11.9,42,42,0.6867
bbc_news_tv,covid,2021-12,0.0444,0.0029,0,37.78,28.89,33.33,45,11,0.8516
bbc_news_tv,covid,2022-01,0.075,0.1842,0.0,30.0,47.5,22.5,40,6,0.7299
bbc_news_tv,covid,2022-02,0.1538,0.3476,0.0,34.62,46.15,19.23,52,2,0.7245
bbc_news_tv,covid,2022-03,0.0759,0.0776,0,29.11,49.37,21.52,79,79,0.712
bbc_news_tv,covid,2022-04,0.2167,0.4346,0.0,38.33,45.0,16.67,60,1,0.7152
bbc_news_tv,covid,2022-05,0.2817,0.4776,0,40.85,46.48,12.68,71,2,0.68
bbc_news_tv,covid,2022-06,0.3509,0.7671,0,42.11,50.88,7.02,57,57,0.6121
bbc_news_tv,covid,2022-07,0.0909,0.2008,0,30.91,47.27,21.82,55,2,0.7271
bbc_news_tv,covid,2022-08,0.2319,0.522,0,36.23,50.72,13.04,69,69,0.6674
bbc_news_tv,covid,2022-09,0.339,0.6879,0,42.37,49.15,8.47,59,59,0.6327
bbc_news_tv,covid,2022-10,0.2205,0.4181,0,35.43,51.18,13.39,127,1,0.6656
bbc_news_tv,covid,2022-11,0.1071,0.2344,0.0,26.79,57.14,16.07,56,56,0.6517
bbc_news_tv,covid,2022-12,0.0159,-0.099,0,23.81,53.97,22.22,63,2,0.6837
bbc_news_tv,covid,2023-01,0.1607,0.4888,0.0,30.36,55.36,14.29,56,1,0.6544
bbc_news_tv,covid,2023-02,-0.0128,-0.1275,0.0,23.08,52.56,24.36,78,1,0.6931
bbc_news_tv,covid,2023-03,0.0877,0.2821,0,40.35,28.07,31.58,57,2,0.8511
bbc_news_tv,covid,2023-04,0.3333,0.4454,1,50.98,31.37,17.65,51,51,0.7659
bbc_news_tv,covid,2023-05,0.3636,0.5852,0,47.27,41.82,10.91,55,55,0.6767
bbc_radio4,control,2016-06,-0.125,0.13,-0.5,37.5,12.5,50.0,8,8,0.991
bbc_radio4,control,2016-07,0,-0.0626,0,33.33,33.33,33.33,9,9,0.866
bbc_radio4,control,2016-08,0.75,0.6332,1.0,87.5,0.0,12.5,8,8,0.7071
bbc_radio4,control,2016-09,0.1111,0.298,0,22.22,66.67,11.11,9,9,0.6009
bbc_radio4,control,2016-10,-0.25,-0.0511,-1.0,37.5,0.0,62.5,8,8,1.0351
bbc_radio4,control,2016-11,-0.2,-0.3098,0.0,20.0,40.0,40.0,10,10,0.7888
bbc_radio4,control,2016-12,0.1,0.3401,0.0,20.0,70.0,10.0,10,10,0.5676
bbc_radio4,control,2017-01,-0.3636,-0.4552,-1,18.18,27.27,54.55,11,11,0.809
bbc_radio4,control,2017-02,0.3,1.0,0.0,30.0,70.0,0.0,10,10,0.483
bbc_radio4,control,2017-03,0.1,0.213,0.0,30.0,50.0,20.0,10,10,0.7379
bbc_radio4,control,2017-04,-0.2727,-0.5851,0,9.09,54.55,36.36,11,11,0.6467
bbc_radio4,control,2017-05,-0.2222,-0.1438,0,11.11,55.56,33.33,9,9,0.6667
bbc_radio4,control,2017-06,-0.2,-0.5896,0.0,10.0,60.0,30.0,10,10,0.6325
bbc_radio4,control,2017-07,-0.3333,-0.2535,-1,22.22,22.22,55.56,9,9,0.866
bbc_radio4,control,2017-08,-0.1111,-0.2956,0,22.22,44.44,33.33,9,9,0.7817
bbc_radio4,control,2017-09,0,-0.3348,0.0,30.0,40.0,30.0,10,10,0.8165
bbc_radio4,control,2017-10,0.0909,-0.1737,0,36.36,36.36,27.27,11,11,0.8312
bbc_radio4,control,2017-11,-0.1111,-0.2849,0,22.22,44.44,33.33,9,9,0.7817
bbc_radio4,control,2017-12,0.1111,0.5853,0,33.33,44.44,22.22,9,9,0.7817
bbc_radio4,control,2018-01,-0.1,-0.8219,0.0,30.0,30.0,40.0,10,10,0.8756
bbc_radio4,control,2018-02,0.1667,0.3123,0.0,41.67,33.33,25.0,12,12,0.8348
bbc_radio4,control,2018-03,-0.2222,-0.3171,-1,33.33,11.11,55.56,9,9,0.9718
bbc_radio4,control,2018-04,-0.2222,-0.6566,0,11.11,55.56,33.33,9,9,0.6667
bbc_radio4,control,2018-05,0,0.3562,0.0,30.0,40.0,30.0,10,10,0.8165
bbc_radio4,control,2018-06,-0.4545,-0.4792,-1,18.18,18.18,63.64,11,11,0.8202
bbc_radio4,control,2018-07,-0.1111,-0.1307,0,22.22,44.44,33.33,9,9,0.7817
bbc_radio4,control,2018-08,-0.1,-0.3047,0.0,30.0,30.0,40.0,10,10,0.8756
bbc_radio4,control,2018-09,0.1818,0.4396,0,36.36,45.45,18.18,11,11,0.7508
bbc_radio4,control,2018-10,0.1,0.2578,0.0,40.0,30.0,30.0,10,10,0.8756
bbc_radio4,control,2018-11,0.4167,1.0,0.0,41.67,58.33,0.0,12,12,0.5149
bbc_radio4,control,2018-12,-0.3,-1.0,0.0,0.0,70.0,30.0,10,10,0.483
bbc_radio4,control,2019-01,0,-0.08,0.0,20.0,60.0,20.0,10,10,0.6667
bbc_radio4,control,2019-02,-0.2,-0.3378,-0.5,30.0,20.0,50.0,10,10,0.9189
bbc_radio4,control,2019-03,0.1,-0.0997,0.0,30.0,50.0,20.0,10,10,0.7379
bbc_radio4,control,2019-04,-0.1,0.1093,0.0,20.0,50.0,30.0,10,10,0.7379
bbc_radio4,control,2019-05,0.6667,0.89,1,77.78,11.11,11.11,9,9,0.7071
bbc_radio4,control,2019-06,-0.3,-0.7321,-0.5,20.0,30.0,50.0,10,10,0.8233
bbc_radio4,control,2019-07,-0.4444,-0.7587,-1,11.11,33.33,55.56,9,9,0.7265
bbc_radio4,control,2019-08,-0.0909,-0.3666,0,27.27,36.36,36.36,11,11,0.8312
bbc_radio4,control,2019-09,0.2174,0.2487,0,39.13,43.48,17.39,23,23,0.7359
bbc_radio4,control,2019-10,-0.3636,-0.7493,0,9.09,45.45,45.45,11,11,0.6742
bbc_radio4,control,2019-11,0,-0.0885,0.0,30.0,40.0,30.0,10,10,0.8165
bbc_radio4,control,unknown-01,0,0.0,0,0.0,100.0,0.0,11,11,0.0
bbc_radio4,covid,2019-12,-0.2,-0.0545,-0.5,30.0,20.0,50.0,10,10,0.9189
bbc_radio4,covid,2020-01,-0.2,-0.3461,-0.5,30.0,20.0,50.0,10,10,0.9189
bbc_radio4,covid,2020-02,-0.2,-0.3957,0.0,20.0,40.0,40.0,10,10,0.7888
bbc_radio4,covid,2020-03,-0.1,-0.3583,0.0,30.0,30.0,40.0,10,10,0.8756
bbc_radio4,covid,2020-04,0.4545,0.7799,1,54.55,36.36,9.09,11,1,0.6876
bbc_radio4,covid,2020-05,0.1818,0.6454,0,27.27,63.64,9.09,11,1,0.603
bbc_radio4,covid,2020-06,0.1,0.5519,0.0,30.0,50.0,20.0,10,10,0.7379
bbc_radio4,covid,2020-07,0.3,0.5619,0.0,40.0,50.0,10.0,10,10,0.6749
bbc_radio4,covid,2020-08,0,-0.0874,0,44.44,11.11,44.44,9,1,1.0
bbc_radio4,covid,2020-09,-0.2222,-0.3365,0,11.11,55.56,33.33,9,9,0.6667
bbc_radio4,covid,2020-10,-0.4,-0.5863,-0.5,10.0,40.0,50.0,10,2,0.6992
bbc_radio4,covid,2020-11,0.2222,0.4627,0,44.44,33.33,22.22,9,9,0.8333
bbc_radio4,covid,2020-12,0.4,0.8497,0.5,50.0,40.0,10.0,10,10,0.6992
bbc_radio4,covid,2021-01,0.2222,1.0,0,22.22,77.78,0.0,9,1,0.441
bbc_radio4,covid,2021-02,-0.3,-0.5726,0.0,10.0,50.0,40.0,10,1,0.6749
bbc_radio4,covid,2021-03,0.3,0.328,0.5,50.0,30.0,20.0,10,1,0.8233
