source,period,year_month,sentence_count,anger_pct,disgust_pct,fear_pct,joy_pct,neutral_pct,sadness_pct,surprise_pct
bbc_news_tv,covid,2022-02,132,6.82,0.76,2.27,14.39,60.61,10.61,4.55
bbc_news_tv,covid,2022-03,20,10.0,5.0,10.0,10.0,50.0,10.0,5.0
bbc_news_tv,covid,2022-04,52,1.92,1.92,1.92,19.23,67.31,5.77,1.92
bbc_news_tv,covid,2022-05,86,13.95,1.16,12.79,4.65,45.35,16.28,5.81
bbc_news_tv,covid,2022-06,11,0.0,0.0,9.09,27.27,54.55,9.09,0.0
bbc_news_tv,covid,2022-07,111,1.8,3.6,3.6,5.41,64.86,10.81,9.91
bbc_news_tv,covid,2022-08,51,0.0,0.0,11.76,9.8,62.75,5.88,9.8
bbc_news_tv,covid,2022-09,15,0.0,6.67,33.33,6.67,20.0,26.67,6.67
bbc_news_tv,covid,2022-10,56,5.36,0.0,0.0,10.71,80.36,0.0,3.57
bbc_news_tv,covid,2022-11,30,10.0,6.67,0.0,3.33,60.0,10.0,10.0
bbc_news_tv,covid,2022-12,85,1.18,1.18,7.06,5.88,67.06,11.76,5.88
bbc_news_tv,covid,2023-01,118,8.47,0.0,18.64,0.85,50.0,16.95,5.08
bbc_news_tv,covid,2023-02,37,5.41,0.0,2.7,16.22,54.05,16.22,5.41
bbc_news_tv,covid,2023-03,121,7.44,2.48,4.96,5.79,65.29,9.09,4.96
bbc_news_tv,covid,2023-04,35,5.71,0.0,8.57,14.29,62.86,2.86,5.71
bbc_news_tv,covid,2023-05,23,8.7,0.0,13.04,26.09,39.13,8.7,4.35
bbc_radio4,control,2016-06,10,10.0,10.0,0.0,20.0,60.0,0.0,0.0
bbc_radio4,control,2016-07,4,0.0,0.0,0.0,0.0,50.0,25.0,25.0
bbc_radio4,control,2016-08,9,11.11,0.0,11.11,0.0,44.44,33.33,0.0
bbc_radio4,control,2016-09,16,12.5,6.25,6.25,18.75,37.5,18.75,0.0
bbc_radio4,control,2016-10,7,0.0,14.29,0.0,0.0,57.14,28.57,0.0
bbc_radio4,control,2016-11,5,20.0,0.0,20.0,0.0,40.0,20.0,0.0
bbc_radio4,control,2016-12,8,0.0,0.0,0.0,0.0,87.5,12.5,0.0
bbc_radio4,control,2017-01,7,14.29,0.0,14.29,0.0,57.14,14.29,0.0
bbc_radio4,control,2017-02,3,33.33,0.0,0.0,0.0,33.33,33.33,0.0
bbc_radio4,control,2017-03,17,11.76,5.88,5.88,5.88,52.94,11.76,5.88
bbc_radio4,control,2017-04,13,15.38,0.0,7.69,7.69,38.46,30.77,0.0
bbc_radio4,control,2017-05,4,0.0,0.0,50.0,0.0,25.0,25.0,0.0
bbc_radio4,control,2017-06,6,33.33,0.0,33.33,16.67,0.0,16.67,0.0
bbc_radio4,control,2017-07,5,0.0,0.0,0.0,0.0,100.0,0.0,0.0
bbc_radio4,control,2017-08,28,3.57,0.0,32.14,3.57,32.14,25.0,3.57
bbc_radio4,control,2017-09,4,25.0,0.0,0.0,0.0,0.0,75.0,0.0
bbc_radio4,control,2017-10,7,14.29,14.29,14.29,0.0,42.86,14.29,0.0
bbc_radio4,control,2017-11,8,12.5,0.0,0.0,0.0,62.5,25.0,0.0
bbc_radio4,control,2017-12,5,0.0,0.0,20.0,0.0,80.0,0.0,0.0
bbc_radio4,control,2018-01,14,14.29,7.14,0.0,0.0,64.29,7.14,7.14
bbc_radio4,control,2018-02,9,22.22,11.11,0.0,0.0,33.33,33.33,0.0
bbc_radio4,control,2018-03,10,30.0,10.0,30.0,0.0,20.0,0.0,10.0
