source,period,year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
bbc_news_tv,covid,2022-05,-0.7209,-1.0,0.0,27.91,72.09,86,0.4512
bbc_news_tv,covid,2022-06,-0.3636,0,0.0,63.64,36.36,11,0.5045
bbc_news_tv,covid,2022-07,-0.5405,-1,0.0,45.95,54.05,111,0.5006
bbc_news_tv,covid,2022-08,-0.3333,0,0.0,66.67,33.33,51,0.4761
bbc_news_tv,covid,2022-09,-0.6,-1,0.0,40.0,60.0,15,0.5071
bbc_news_tv,covid,2022-10,-0.5,-0.5,0.0,50.0,50.0,56,0.5045
bbc_news_tv,covid,2022-11,-0.6333,-1.0,0.0,36.67,63.33,30,0.4901
bbc_news_tv,covid,2022-12,-0.4824,0,0.0,51.76,48.24,85,0.5027
bbc_news_tv,covid,2023-01,-0.6949,-1.0,0.0,30.51,69.49,118,0.4624
bbc_news_tv,covid,2023-02,-0.5405,-1,0.0,45.95,54.05,37,0.5052
bbc_news_tv,covid,2023-03,-0.6942,-1,0.0,30.58,69.42,121,0.4627
bbc_news_tv,covid,2023-04,-0.5143,-1,0.0,48.57,51.43,35,0.5071
bbc_news_tv,covid,2023-05,-0.4348,0,0.0,56.52,43.48,23,0.5069
bbc_radio4,control,2016-06,-0.5,-0.5,0.0,50.0,50.0,10,0.527
bbc_radio4,control,2016-07,-0.25,0.0,0.0,75.0,25.0,4,0.5
bbc_radio4,control,2016-08,-0.8889,-1,0.0,11.11,88.89,9,0.3333
bbc_radio4,control,2016-09,-0.5,-0.5,0.0,50.0,50.0,16,0.5164
bbc_radio4,control,2016-10,-0.4286,0,0.0,57.14,42.86,7,0.5345
bbc_radio4,control,2016-11,-0.6,-1,0.0,40.0,60.0,5,0.5477
bbc_radio4,control,2016-12,-0.375,0.0,0.0,62.5,37.5,8,0.5175
bbc_radio4,control,2017-01,-0.7143,-1,0.0,28.57,71.43,7,0.488
bbc_radio4,control,2017-02,-1,-1,0.0,0.0,100.0,3,0.0
bbc_radio4,control,2017-03,-0.4706,0,0.0,52.94,47.06,17,0.5145
bbc_radio4,control,2017-04,-0.8462,-1,0.0,15.38,84.62,13,0.3755
bbc_radio4,control,2017-05,-0.5,-0.5,0.0,50.0,50.0,4,0.5774
bbc_radio4,control,2017-06,-0.6667,-1.0,0.0,33.33,66.67,6,0.5164
bbc_radio4,control,2017-07,-0.6,-1,0.0,40.0,60.0,5,0.5477
bbc_radio4,control,2017-08,-0.5714,-1.0,0.0,42.86,57.14,28,0.504
bbc_radio4,control,2017-09,-0.5,-0.5,0.0,50.0,50.0,4,0.5774
bbc_radio4,control,2017-10,-0.5714,-1,0.0,42.86,57.14,7,0.5345
bbc_radio4,control,2017-11,-0.375,0.0,0.0,62.5,37.5,8,0.5175
bbc_radio4,control,2017-12,-0.8,-1,0.0,20.0,80.0,5,0.4472
bbc_radio4,control,2018-01,-0.5,-0.5,0.0,50.0,50.0,14,0.5189
bbc_radio4,control,2018-02,-0.3333,0,0.0,66.67,33.33,9,0.5
bbc_radio4,control,2018-03,-0.7,-1.0,0.0,30.0,70.0,10,0.483
bbc_radio4,control,2018-04,-0.5,-0.5,0.0,50.0,50.0,16,0.5164
bbc_radio4,control,2018-05,-0.7,-1.0,0.0,30.0,70.0,10,0.483
bbc_radio4,control,2018-06,-0.3636,0,0.0,63.64,36.36,11,0.5045
bbc_radio4,control,2018-07,-0.8,-1.0,0.0,20.0,80.0,10,0.4216
bbc_radio4,control,2018-08,-0.5556,-1,0.0,44.44,55.56,9,0.527
bbc_radio4,control,2018-09,-0.6,-1.0,0.0,40.0,60.0,10,0.5164
bbc_radio4,control,2018-10,-0.2727,0,0.0,72.73,27.27,11,0.4671
bbc_radio4,control,2018-11,-0.6316,-1,0.0,36.84,63.16,19,0.4956
bbc_radio4,control,2018-12,-0.4444,0,0.0,55.56,44.44,9,0.527
bbc_radio4,control,2019-01,-0.6154,-1,0.0,38.46,61.54,13,0.5064
bbc_radio4,control,2019-02,-0.5714,-1,0.0,42.86,57.14,7,0.5345
bbc_radio4,control,2019-03,-0.25,0.0,0.0,75.0,25.0,4,0.5
bbc_radio4,control,2019-04,-0.5,-0.5,0.0,50.0,50.0,14,0.5189
bbc_radio4,control,2019-05,-0.8182,-1,0.0,18.18,81.82,11,0.4045
bbc_radio4,control,2019-06,-0.8,-1.0,0.0,20.0,80.0,10,0.4216
bbc_radio4,control,2019-07,-0.75,-1.0,0.0,25.0,75.0,8,0.4629
bbc_radio4,control,2019-08,-0.5333,-1,0.0,46.67,53.33,15,0.5164
bbc_radio4,control,2019-09,-0.4286,0,0.0,57.14,42.86,7,0.5345
bbc_radio4,control,2019-10,-0.3158,0,0.0,68.42,31.58,19,0.4776
bbc_radio4,control,2019-11,-0.8889,-1,0.0,11.11,88.89,9,0.3333
bbc_radio4,covid,2019-12,-1,-1.0,0.0,0.0,100.0,6,0.0
bbc_radio4,covid,2020-01,-0.2727,0,0.0,72.73,27.27,11,0.4671
bbc_radio4,covid,2020-02,-0.5405,-1,0.0,45.95,54.05,37,0.5052
bbc_radio4,covid,2020-03,-0.5909,-1.0,0.0,40.91,59.09,44,0.4974
bbc_radio4,covid,2020-04,-0.7143,-1,0.0,28.57,71.43,77,0.4547
bbc_radio4,covid,2020-05,-0.5,-0.5,0.0,50.0,50.0,84,0.503
